data,valor_mensal,dia,mes,ano,dia_semana,nome_dia_semana,bimestre,trimestre,semestre,variacao_mensal,p_variacao_mensal,valor_anual,variacao_anual,p_variacao_anual
1999-08-01,63.99,1,8,1999,6,Domingo,4,3,2,0.14000000000000057,0.0021926389976507643,772.38,-18.769999999999982,-42.1497069792222
1999-09-01,63.78,1,9,1999,2,Quarta-feira,5,3,2,-0.21000000000000085,-0.003281762775433683,772.38,-18.769999999999982,-42.1497069792222
1999-10-01,64.41,1,10,1999,4,Sexta-feira,5,4,2,0.6299999999999955,0.009877704609595472,772.38,-18.769999999999982,-42.1497069792222
1999-11-01,64.83,1,11,1999,0,Segunda-feira,6,4,2,0.4200000000000017,0.00652072659524916,772.38,-18.769999999999982,-42.1497069792222
1999-12-01,64.17,1,12,1999,2,Quarta-feira,6,4,2,-0.6599999999999966,-0.01018047200370198,772.38,-18.769999999999982,-42.1497069792222
2000-01-01,64.34,1,1,2000,5,Sábado,1,1,1,0.1700000000000017,0.002649213027894781,796.27,23.889999999999986,32.33068229384681
2000-02-01,65.06,1,2,2000,1,Terça-feira,1,1,1,0.7199999999999989,0.011190550202051508,796.27,23.889999999999986,32.33068229384681
2000-03-01,65.24,1,3,2000,2,Quarta-feira,2,1,1,0.1799999999999926,0.0027666769136180935,796.27,23.889999999999986,32.33068229384681
2000-04-01,65.74,1,4,2000,5,Sábado,2,2,1,0.5,0.007664009809932537,796.27,23.889999999999986,32.33068229384681
2000-05-01,66.14,1,5,2000,0,Segunda-feira,3,2,1,0.4000000000000057,0.006084575600851849,796.27,23.889999999999986,32.33068229384681
2000-06-01,65.79,1,6,2000,3,Quinta-feira,3,2,1,-0.3499999999999943,-0.005291805261566251,796.27,23.889999999999986,32.33068229384681
2000-07-01,66.5,1,7,2000,5,Sábado,4,3,2,0.7099999999999937,0.010791913664690567,796.27,23.889999999999986,32.33068229384681
2000-08-01,67.04,1,8,2000,1,Terça-feira,4,3,2,0.5400000000000063,0.00812030075187975,796.27,23.889999999999986,32.33068229384681
2000-09-01,66.98,1,9,2000,4,Sexta-feira,5,3,2,-0.060000000000002274,-0.0008949880668258636,796.27,23.889999999999986,32.33068229384681
2000-10-01,67.74,1,10,2000,6,Domingo,5,4,2,0.7599999999999909,0.011346670647954582,796.27,23.889999999999986,32.33068229384681
2000-11-01,68.59,1,11,2000,2,Quarta-feira,6,4,2,0.8500000000000085,0.012547977561263801,796.27,23.889999999999986,32.33068229384681
2000-12-01,67.11,1,12,2000,4,Sexta-feira,6,4,2,-1.480000000000004,-0.021577489429946084,796.27,23.889999999999986,32.33068229384681
